V,V_in,I_in,V_i,V_2x,T
0.25,0.2500385,0.0001112487,0.507516,0.258622,31.030001
0.25,0.2500384,0.000111248,0.507584,0.25853,31.030001
0.25,0.2500397,0.0001112474,0.507601,0.258449,31.049999
0.25,0.2500379,0.0001112481,0.507617,0.258675,31.059999
0.25,0.2500383,0.0001112466,0.507508,0.258401,31.059999
0.25,0.2500377,0.0001112477,0.507532,0.258364,31.059999
0.25,0.2500384,0.0001112457,0.507484,0.258473,31.059999
0.25,0.2500376,0.000111246,0.508326,0.258912,31.08
0.25,0.250037,0.0001112462,0.507838,0.259251,31.09
0.25,0.250036,0.000111245,0.507935,0.258908,31.07
0.25,0.2500379,0.000111245,0.507903,0.258953,31.08
0.25,0.2500384,0.0001112436,0.507766,0.259146,31.07
0.25,0.250037,0.0001112437,0.507794,0.258916,31.059999
0.25,0.2500373,0.0001112429,0.507806,0.259166,31.059999
0.25,0.2500376,0.000111243,0.50781,0.259271,31.040001
0.25,0.2500371,0.000111242,0.507866,0.259218,31.049999
0.25,0.2500369,0.0001112416,0.507858,0.259275,31.049999
0.25,0.2500371,0.0001112409,0.507935,0.259251,31.02
0.25,0.2500372,0.0001112405,0.50787,0.259065,31.01
0.25,0.2500364,0.0001112401,0.50783,0.259178,31.01
0.25,0.2500361,0.0001112389,0.507838,0.259331,31.0
0.25,0.250036,0.0001112381,0.507774,0.259347,30.98
0.25,0.2500362,0.0001112374,0.507846,0.259098,30.99
0.25,0.2500356,0.0001112374,0.50804,0.259174,30.99
0.25,0.2500365,0.0001112379,0.507915,0.259166,30.98
0.25,0.2500356,0.0001112373,0.507806,0.259218,30.969999
0.25,0.2500379,0.0001112372,0.507778,0.259303,30.98
0.25,0.2500378,0.0001112371,0.507983,0.259089,30.99
0.25,0.2500375,0.0001112361,0.507766,0.259021,30.98
0.25,0.2500375,0.0001112362,0.507738,0.259259,30.99
0.25,0.2500362,0.0001112345,0.507858,0.259146,31.0
0.25,0.2500359,0.0001112343,0.507746,0.259416,31.0
0.25,0.2500356,0.0001112346,0.507697,0.25919,30.99
0.25,0.2500353,0.0001112345,0.50781,0.259291,30.99
0.25,0.2500362,0.0001112335,0.507782,0.259456,30.99
0.25,0.2500365,0.0001112339,0.507911,0.258981,30.99
0.25,0.2500366,0.0001112337,0.507931,0.259251,30.99
0.25,0.2500381,0.0001112339,0.507814,0.258876,31.0
0.25,0.2500388,0.0001112346,0.507979,0.25913,30.99
0.25,0.2500399,0.0001112342,0.507782,0.259081,30.99
0.25,0.2500384,0.0001112335,0.50783,0.259122,30.99
0.25,0.2500375,0.0001112335,0.507754,0.259029,31.0
0.25,0.2500382,0.0001112334,0.507899,0.258924,31.0
0.3,0.3000325,0.0001315735,0.607495,0.308747,31.01
0.3,0.3000317,0.000131574,0.6076,0.308678,31.01
0.3,0.3000329,0.0001315735,0.607575,0.308674,31.01
0.3,0.300032,0.0001315741,0.607612,0.308783,31.02
0.3,0.3000324,0.0001315724,0.607559,0.308739,31.02
0.3,0.3000334,0.0001315731,0.607648,0.308751,31.030001
0.3,0.300033,0.0001315723,0.607418,0.308706,31.040001
0.3,0.3000334,0.0001315725,0.607487,0.308811,31.030001
0.3,0.3000332,0.0001315727,0.607567,0.308674,31.030001
0.3,0.3000339,0.0001315727,0.607547,0.308606,31.040001
0.3,0.3000328,0.000131572,0.607515,0.308779,31.040001
0.3,0.3000334,0.000131572,0.607592,0.308847,31.049999
0.3,0.3000329,0.0001315717,0.607499,0.308831,31.049999
0.3,0.3000333,0.000131571,0.607579,0.308739,31.049999
0.3,0.3000332,0.0001315707,0.607551,0.308739,31.059999
0.3,0.3000328,0.0001315711,0.607543,0.308791,31.08
0.3,0.300033,0.0001315695,0.607592,0.308859,31.1
